Tool ID,In SR or is Standalone?,1st Level Code,2nd Level Code,3rd Level Code,4th Level Code,Normalised Criterion,Appraisal (A) or Reporting (R) Mode,"Original, Modified or Existing tool?",Eligibility of Parent Tool?,Web of Science Topic Label 1,Web of Science Topic Label 2,Web of Science Topic Label 3,Web of Science Topic Label 4,Web of Science Topic Label 5
Fernandez-Cruz 2018,Standalone,Test System,Theory,PECO,Outcomes,Timing of outcome measurements,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Theory,PECO,Population,Identity of cell model,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Theory,PECO,Population,Identity of organism,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Exposure,Not classified,Concentration of test article in exposure medium,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Exposure,Not classified,Description of impurities,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Exposure,Not classified,Endotoxin content of test article,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Exposure,Not classified,Identity of test article,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Exposure,Not classified,Purity of test article,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Exposure,Not classified,Source of test article,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Exposure,Not classified,Stability of concentration of test article in exposure medium,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Not classified,Not classified,Source of test system,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Population,Not classified,Conditions of cultivation,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Fernandez-Cruz 2018,Standalone,Test System,Verification,Population,Not classified,Conditions of maintenance,R,Modified,Eligible,Multidisciplinary chemistry,Environmental sciences,Nanoscience & nanotechnology,,
Ferrua 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Concentration of enzymes for association technique,R,Original,N/A,Dentistry,Oral surgery and medicine,,,
Ferrua 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Concentration of enzymes for enzymatic technique,R,Original,N/A,Dentistry,Oral surgery and medicine,,,
Ferrua 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Culture medium,R,Original,N/A,Dentistry,Oral surgery and medicine,,,
Ferrua 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Filtering,R,Original,N/A,Dentistry,Oral surgery and medicine,,,
Ferrua 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Mechanical instrument,R,Original,N/A,Dentistry,Oral surgery and medicine,,,
Ferrua 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Medium supplementation,R,Original,N/A,Dentistry,Oral surgery and medicine,,,
Ferrua 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Type of enzymes,R,Original,N/A,Dentistry,Oral surgery and medicine,,,
Ferrua 2017,Systematic review,Test System,Theory,Not classified,Not classified,Serum,R,Original,N/A,Dentistry,Oral surgery and medicine,,,
Ferrua 2017,Systematic review,Test System,Theory,PECO,Population,Fragments size,R,Original,N/A,Dentistry,Oral surgery and medicine,,,
Fliefel 2018,Systematic review,Analysis,Results,Raw data,Not classified,Description of new datasets generated by study,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Analysis,Results,Raw data,Not classified,Accession number provided for data being deposited in community-endorsed repositories,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Analysis,Results,Raw data,Not classified,Clinical registry numbers associated with study,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Analysis,Results,Raw data,Not classified,"Links to custom scripts, software and algorithms generated in study",R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Analysis,Results,Raw data,Not classified,Links to dataset provided in Key Resources Table,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Analysis,Results,Raw data,Not classified,Links to websites and resources created or expanded on by the study,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Analysis,Results,Raw data,Not classified,Restrictions on use of materials,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Analysis,Results,Statistical methods,Not classified,Reasons for choice of statistical analysis to quantify data,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical assumption checking,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Analysis,Results,Statistical methods,Not classified,Stratification strategy,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Experimental models listed under separate headings,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Key Resources Table provided as separate file,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,More than two levels of customised subheadings to organise information in methods text,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,No custom headings in the Key Resources Table,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Reagent and resource sharing text provided in paragraph,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Statement of where statistical parameters are reported,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Subheadings free of numbering,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Subheadings free of parenthetical text,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Subheadings shorter than 45 characters,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Description of methodology,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Methods provided in full e.g. without reference to other papers,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Method-specific descriptive subheadings,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,One item per row in Key Resources Table,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Publication in peer-reviewed journal,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,References cited in methods and key resources provided in main references list,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,References cited provided in reference list,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Lead Contact details,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Lead Contact only author for reagent and resource sharing,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Oligonucleotides provided when more than 10 are used,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Other,Interests,Not classified,Not classified,Declaration of interests,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Other,Summaries,Resources,Not classified,All items in Key Resources Table mentioned in main text,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Other,Summaries,Resources,Not classified,All papers cited in Key Resources Table included in reference list,U,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Other,Summaries,Resources,Not classified,All deposited and used data linked to from Key Resources Table,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Other,Summaries,Resources,Not classified,All deposited and used software and algorithms linked to from Key Resources Table,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Other,Summaries,Resources,Not classified,Descriptions of Key Resource Table items informative,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Other,Summaries,Resources,Not classified,Descriptions of Key Resource Table items intuitive,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Experimental Practice,Controlling for random error,Replicates,Information about replication,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size calculation,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size estimation,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinded outcome assessment,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinded study,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation strategy,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Temperature provided when it may impact results,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Not classified,Not classified,Not classified,Explanation of how experimental procedures were conducted,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Not classified,Not classified,Not classified,Explanation of why experimental procedures were conducted,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Not classified,Not classified,Not classified,"If sex data unavailable, statement of why",R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Theory,Methodological Information,Not classified,Culture conditions specified for in vitro studies,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Theory,PECO,Not classified,Eligibility criteria for data,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Theory,PECO,Population,Eligibility criteria for population,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Theory,PECO,Population,Sex of primary cultures and cell lines,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Verification,Not classified,Not classified,Provision of source and identifier for all resources,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Verification,Not classified,Not classified,Provision of unique identifiers for all items,A,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Fliefel 2018,Systematic review,Test System,Verification,Population,Not classified,Cell line authentication,R,Modified,Eligible,Cell & Tissue Engineering,Biotechnology & Applied Microbiology,Cell Biology,"Engineering, Biomedical",
Golbach 2015,Systematic review,Other,Interests,Not classified,Not classified,Industry sponsorship,A,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of exposure,A,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Not classified,Identical experimental conditions across study groups,A,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation of data measurements,A,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation of exposure,A,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Controlled temperature,A,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Environmental background magnetic field,R,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Not classified,Not classified,Not classified,Cell vitality measurement,R,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Theory,PECO,Controls,Dummy electromagnetic coil for control treatment,A,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Theory,PECO,Exposure or intervention,Duration of exposure,R,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Theory,PECO,Exposure or intervention,Frequency of exposure,R,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Theory,PECO,Exposure or intervention,Magnetic flux density,R,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Theory,PECO,Population,Cell origin,R,Original,N/A,Environmental sciences,,,,
Golbach 2015,Systematic review,Test System,Theory,PECO,Population,Cell type,R,Original,N/A,Environmental sciences,,,,
Goldman 2014,Systematic review,Analysis,Results,Statistical methods,Not classified,P value of each result <0.05,R,Modified,N/A,N/A,,,,
Goldman 2014,Systematic review,Not classified,Not classified,Not classified,Not classified,Evaluation methods and timing description,U,Modified,N/A,N/A,,,,
Goldman 2014,Systematic review,Not classified,Not classified,Not classified,Not classified,Nano scale topography,R,Modified,N/A,N/A,,,,
Goode 2008,Systematic review,Analysis,Interpretation,Limitations,Not classified,Study limitations,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Analysis,Results,Statistical methods,Not classified,Measures of data variance,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Analysis,Results,Statistical methods,Not classified,Measures of experimental error,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Analysis,Results,Statistical methods,Not classified,Reliability measures,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Not classified,Not classified,Not classified,Not classified,Movements reproducible as clinically important values,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Experimental Practice,Controlling for random error,Replicates,Reproducible experimental set-up,A,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,Methodological Information,Not classified,Characterisation of movement initiation for each measure,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,Methodological Information,Not classified,Study specimen preparation,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,Methodological Information,Not classified,Subject preparation,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,Not classified,Not classified,Use of Cartesian system for defining directional coupling pattern,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,PECO,Not classified,Use of intact adjacent soft tissue,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,PECO,Not classified,Use of intact articular tissue,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,PECO,Not classified,Use of non-intact rib structures,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,PECO,Not classified,Use of single spinal level of assessment,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,PECO,Outcomes,Use of 3-dimensional measures of assessment,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,PECO,Population,Characterisation of pathology of study subjects,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,PECO,Population,Characterisation of status of study subjects,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Theory,PECO,Population,Characterisation of study subjects,R,Existing,Unclear,Rehabilitation,,,,
Goode 2008,Systematic review,Test System,Verification,Outcomes,Not classified,Instrumentation errors lower than measured results,R,Existing,Unclear,Rehabilitation,,,,
Gorman 2016,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical methods,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Gorman 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of evaluators,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Gorman 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Investigator roles,Access cavity performed by same operator,A,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Gorman 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Access cavity evaluated for damage prior to repair,A,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Gorman 2016,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Use of similarly-sized samples,A,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Gorman 2016,Systematic review,Test System,Theory,PECO,Controls,Use of control groups,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Harbell 1997,Standalone,Analysis,Results,Data normalisation,Not classified,Data reduction methods,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Analysis,Results,Raw data,Not classified,Relevant raw data,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Not classified,Not classified,Not classified,Not classified,Assay acceptance criteria,U,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Experimental Practice,Controlling for random error,Replicates,Number of replicates,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Experimental Practice,Nonspecific error control,Investigator roles,Independent quality control audit,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Experimental Practice,Nonspecific error control,Not classified,Consistent reagents,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Experimental Practice,Nonspecific error control,Not classified,Consistent substrates,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Experimental Practice,Nonspecific error control,Standardised practices,Adherence to Good Laboratory Practice,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Experimental Practice,Protocol,Not classified,Established protocol,U,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Not classified,Not classified,Not classified,Description of methodology,R,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Theory,Methodological Information,Materials,Characterisation of reagents,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Theory,Methodological Information,Materials,Characterisation of substrates,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Theory,PECO,Controls,Concurrent negative controls,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Theory,PECO,Controls,Concurrent positive controls,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Harbell 1997,Standalone,Test System,Theory,PECO,Outcomes,Characterisation of assay end-points,A,Original,N/A,"Medicine, Research & Experimental",Pharmacology & Pharmacy,Toxicology,Veterinary Sciences,Zoology
Hsie 1981,Standalone,Analysis,Results,Complete reporting,Not classified,Results from controls,R,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Analysis,Results,Not classified,Not classified,Reproducibility of observations,A,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Analysis,Results,Raw data,Not classified,Availability of raw data,U,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Analysis,Results,Raw data,Not classified,Possibility to reconstruct original data,U,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Experimental Practice,Nonspecific error control,Not classified,Evaluation of effect of tissue homogenate on test article activity in the activation system,A,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Experimental Practice,Nonspecific error control,Standardised practices,Adherence to Good Laboratory Practice,U,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Not classified,Not classified,Not classified,Experimental conditions,R,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Theory,Fit,Not classified,"Choice of source of activation system, given test article",A,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Theory,Methodological Information,Not classified,Choice of inducer for activation system,A,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Theory,PECO,Controls,Use of negative controls,U,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Theory,PECO,Controls,Use of solvent controls,U,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Theory,PECO,Controls,Use of untreated culture controls,U,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Theory,PECO,Controls,Choice of positive control chemicals in presence or absence of activation system,A,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Theory,PECO,Exposure or intervention,Results from three concentrations of test article,R,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Theory,PECO,Population,Characteristics of cell growth,R,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Theory,PECO,Population,Properties of cell line,R,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Verification,Exposure,Not classified,Purity of test article,R,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Verification,Population,Not classified,Average with 95% confidence interval of spontaneous mutation frequencies in lab prior to experiments,R,Original,N/A,Genetics heredity,Toxicology,,,
Hsie 1981,Standalone,Test System,Verification,Population,Not classified,Range and average of spontaneous mutation frequencies in lab prior to experiments,R,Original,N/A,Genetics heredity,Toxicology,,,
Kaczor 2018,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size calculation,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Kaczor 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of evaluators,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Kaczor 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation of samples,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Kaczor 2018,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Similar dimensions of sample,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Kaczor 2018,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Materials used according to manufacturers instructions,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
